4300000001|4300000034|SP
4300000001|4300000035|SP
4300000001|4300000036|SP
4300000002|4300000013|BD
4300000002|4300000016|BD
4300000002|4300000047|BD
4300000003|4300000027|EU
4300000003|4300000227|NG
4300000003|4300000252|NG
4300000004|4300000012|MG
4300000004|4300000028|MG
4300000004|4300000087|MG
4300000005|4300000007|RB
4300000005|4300000079|RB
4300000005|4300000084|RB
4300000006|4300000019|RL
4300000006|4300000021|RL
4300000006|4300000163|RL
4300000007|4300000079|RB
4300000007|4300000084|RB
4300000007|4300000086|RB
4300000008|4300000068|IV
4300000008|4300000284|IV
4300000008|4300000303|IV
4300000009|4300000094|CE
4300000009|4300000095|CE
4300000009|4300000104|CE
4300000010|4300000039|SM
4300000010|4300000071|SM
4300000010|4300000100|SM
4300000011|4300000020|CP
4300000011|4300000023|EI
4300000011|4300000416|CO
4300000012|4300000028|MG
4300000012|4300000087|MG
4300000012|4300000158|MG
4300000013|4300000016|BD
4300000013|4300000047|BD
4300000013|4300000052|BD
4300000014|4300000031|SB
4300000014|4300000044|SB
4300000014|4300000154|SB
4300000015|4300000049|CU
4300000015|4300000075|CU
4300000015|4300000098|CU
4300000016|4300000047|BD
4300000016|4300000052|BD
4300000016|4300000067|BD
4300000017|4300000091|MC
4300000017|4300000402|MC
4300000017|4300000409|MC
4300000018|4300000019|RL
4300000018|4300000056|CT
4300000018|4300000155|CT
4300000019|4300000021|RL
4300000019|4300000163|RL
4300000019|4300000219|RL
4300000020|4300000054|CP
4300000020|4300000064|CP
4300000020|4300000125|CP
4300000021|4300000163|RL
4300000021|4300000219|RL
4300000021|4300000279|RL
4300000022|4300000029|IP
4300000022|4300000061|IP
4300000022|4300000085|IP
4300000023|4300000024|EI
4300000023|4300000055|EI
4300000023|4300000069|EI
4300000024|4300000055|EI
4300000024|4300000069|EI
4300000024|4300000121|EI
4300000025|4300000034|SP
4300000025|4300000035|SP
4300000025|4300000325|CH
4300000026|4300000092|MF
4300000026|4300000131|FR
4300000026|4300000199|FR
4300000027|4300000057|EU
4300000027|4300000112|EU
4300000027|4300000142|EU
4300000028|4300000087|MG
4300000028|4300000158|MG
4300000028|4300000233|MG
4300000029|4300000061|IP
4300000029|4300000085|IP
4300000029|4300000133|IP
4300000030|4300000032|AE
4300000030|4300000164|PS
4300000030|4300000176|PS
4300000031|4300000044|SB
4300000031|4300000154|SB
4300000031|4300000287|SB
4300000032|4300000076|AE
4300000032|4300000436|AE
4300000032|4300000496|AE
4300000033|4300000038|RT
4300000033|4300000134|RN
4300000033|4300000418|RN
4300000034|4300000035|SP
4300000034|4300000036|SP
4300000034|4300000040|SP
4300000035|4300000036|SP
4300000035|4300000040|SP
4300000035|4300000045|SP
4300000036|4300000040|SP
4300000036|4300000045|SP
4300000036|4300000063|SP
4300000037|4300000073|ME
4300000037|4300000122|ME
4300000037|4300000234|ME
4300000038|4300000203|RT
4300000038|4300000239|RT
4300000038|4300000395|RT
4300000039|4300000071|SM
4300000039|4300000100|SM
4300000039|4300000105|SM
4300000040|4300000045|SP
4300000040|4300000063|SP
4300000040|4300000065|SP
4300000041|4300000049|CU
4300000041|4300000051|GR
4300000041|4300000056|CT
4300000042|4300000119|CX
4300000042|4300000147|CX
4300000042|4300000332|CX
4300000043|4300000129|MS
4300000043|4300000156|MS
4300000043|4300000487|MS
4300000044|4300000154|SB
4300000044|4300000287|SB
4300000044|4300000341|SB
4300000045|4300000063|SP
4300000045|4300000065|SP
4300000045|4300000070|SP
4300000046|4300000080|CS
4300000046|4300000101|CS
4300000046|4300000168|CS
4300000047|4300000052|BD
4300000047|4300000067|BD
4300000047|4300000077|BD
4300000048|4300000235|IL
4300000048|4300000236|IL
4300000048|4300000308|IL
